Seed,Scenario,Augmentation,Model,Class,Precision,Recall,F1-Score,Support,TotalSamples
1674292617,Test2,None,RF-25ep-s1674292617,DoS Slowhttptest,0.9963614311704063,0.9957575757575757,0.9960594119430131,1650.0,5499
1674292617,Test2,None,RF-25ep-s1674292617,DoS slowloris,0.9965317919075144,0.9913743530764807,0.9939463822427212,1739.0,5796
1674292617,Test2,None,XGB-25ep-s1674292617,BENIGN,0.9994003597841296,1.0,0.9997000899730081,15000.0,50000
1674292617,Test2,None,XGB-25ep-s1674292617,DoS Slowhttptest,0.9969678593086719,0.9963636363636363,0.9966656562594726,1650.0,5499
1674292617,Test2,None,XGB-25ep-s1674292617,DoS slowloris,0.9971114962449451,0.99252443933295,0.9948126801152738,1739.0,5796
1674292617,Test2,None,MLP-30ep-s1674292617,BENIGN,0.9800837159060222,0.9678,0.9739031262578828,15000.0,50000
1674292617,Test2,None,MLP-30ep-s1674292617,DoS Slowhttptest,0.9337270341207349,0.8624242424242424,0.8966603654694392,1650.0,5499
1674292617,Test2,None,MLP-30ep-s1674292617,DoS slowloris,0.7150511446663419,0.8441633122484187,0.7742616033755274,1739.0,5796
1674292617,Test2,None,LogReg-30ep-s1674292617,BENIGN,0.9991799357616347,0.9747333333333333,0.9868052509027098,15000.0,50000
1674292617,Test2,None,LogReg-30ep-s1674292617,DoS Slowhttptest,0.885558583106267,0.9848484848484849,0.9325681492109039,1650.0,5499
1674292617,Test2,None,LogReg-30ep-s1674292617,DoS slowloris,0.8781884435190005,0.9700977573317999,0.9218579234972678,1739.0,5796
1674292617,Test2,None,RF-30ep-s1674292617,BENIGN,0.9992005329780147,0.9998666666666667,0.9995334888370543,15000.0,50000
1674292617,Test2,None,RF-30ep-s1674292617,DoS Slowhttptest,0.9963614311704063,0.9957575757575757,0.9960594119430131,1650.0,5499
1674292617,Test2,None,RF-30ep-s1674292617,DoS slowloris,0.9965317919075144,0.9913743530764807,0.9939463822427212,1739.0,5796
1674292617,Test2,None,XGB-30ep-s1674292617,BENIGN,0.9994003597841296,1.0,0.9997000899730081,15000.0,50000
1674292617,Test2,None,XGB-30ep-s1674292617,DoS Slowhttptest,0.9969678593086719,0.9963636363636363,0.9966656562594726,1650.0,5499
1674292617,Test2,None,XGB-30ep-s1674292617,DoS slowloris,0.9971114962449451,0.99252443933295,0.9948126801152738,1739.0,5796
1674292617,Test2,None,MLP-50ep-s1674292617,BENIGN,0.9850945792393556,0.9825333333333334,0.9838122893094357,15000.0,50000
1674292617,Test2,None,MLP-50ep-s1674292617,DoS Slowhttptest,0.9432525951557094,0.826060606060606,0.8807754442649435,1650.0,5499
1674292617,Test2,None,MLP-50ep-s1674292617,DoS slowloris,0.8103883005547151,0.9240943070730305,0.8635142396560989,1739.0,5796
1674292617,Test2,None,LogReg-50ep-s1674292617,BENIGN,0.9992525650608141,0.9804,0.9897365144530067,15000.0,50000
1674292617,Test2,None,LogReg-50ep-s1674292617,DoS Slowhttptest,0.8952850877192983,0.9896969696969697,0.9401266551525619,1650.0,5499
1674292617,Test2,None,LogReg-50ep-s1674292617,DoS slowloris,0.913961038961039,0.9712478435882691,0.941734039587399,1739.0,5796
1674292617,Test2,None,RF-50ep-s1674292617,BENIGN,0.9992005329780147,0.9998666666666667,0.9995334888370543,15000.0,50000
1674292617,Test2,None,RF-50ep-s1674292617,DoS Slowhttptest,0.9963614311704063,0.9957575757575757,0.9960594119430131,1650.0,5499
1674292617,Test2,None,RF-50ep-s1674292617,DoS slowloris,0.9965317919075144,0.9913743530764807,0.9939463822427212,1739.0,5796
1674292617,Test2,None,XGB-50ep-s1674292617,BENIGN,0.9994003597841296,1.0,0.9997000899730081,15000.0,50000
1674292617,Test2,None,XGB-50ep-s1674292617,DoS Slowhttptest,0.9969678593086719,0.9963636363636363,0.9966656562594726,1650.0,5499
1674292617,Test2,None,XGB-50ep-s1674292617,DoS slowloris,0.9971114962449451,0.99252443933295,0.9948126801152738,1739.0,5796
1674292617,Test2,None,MLP-100ep-s1674292617,BENIGN,0.9883549725605675,0.9845333333333334,0.9864404515396433,15000.0,50000
1674292617,Test2,None,MLP-100ep-s1674292617,DoS Slowhttptest,0.7180417044424298,0.96,0.8215767634854771,1650.0,5499
1674292617,Test2,None,MLP-100ep-s1674292617,DoS slowloris,0.8589846897663175,0.6129959746981024,0.7154362416107383,1739.0,5796
1674292617,Test2,None,LogReg-100ep-s1674292617,BENIGN,0.9991860543986977,0.9820666666666666,0.990552398883771,15000.0,50000
1674292617,Test2,None,LogReg-100ep-s1674292617,DoS Slowhttptest,0.9077777777777778,0.9903030303030304,0.9472463768115942,1650.0,5499
1674292617,Test2,None,LogReg-100ep-s1674292617,DoS slowloris,0.914409534127844,0.9706728004600345,0.9417015341701535,1739.0,5796
1674292617,Test2,None,RF-100ep-s1674292617,BENIGN,0.9992005329780147,0.9998666666666667,0.9995334888370543,15000.0,50000
1674292617,Test2,None,RF-100ep-s1674292617,DoS Slowhttptest,0.9963614311704063,0.9957575757575757,0.9960594119430131,1650.0,5499
1674292617,Test2,None,RF-100ep-s1674292617,DoS slowloris,0.9965317919075144,0.9913743530764807,0.9939463822427212,1739.0,5796
1674292617,Test2,None,XGB-100ep-s1674292617,BENIGN,0.9994003597841296,1.0,0.9997000899730081,15000.0,50000
1674292617,Test2,None,XGB-100ep-s1674292617,DoS Slowhttptest,0.9969678593086719,0.9963636363636363,0.9966656562594726,1650.0,5499
1674292617,Test2,None,XGB-100ep-s1674292617,DoS slowloris,0.9971114962449451,0.99252443933295,0.9948126801152738,1739.0,5796
1674292617,Test2,SMOTENC,MLP-1ep-s1674292617,BENIGN,0.9657340458975165,0.8192,0.8864521714038378,15000.0,50000
1674292617,Test2,SMOTENC,MLP-1ep-s1674292617,DoS Slowhttptest,0.35535378835316217,0.6878787878787879,0.4686209744013212,1650.0,5499
1674292617,Test2,SMOTENC,MLP-1ep-s1674292617,DoS slowloris,0.5645487656819101,0.8021851638872916,0.66270783847981,1739.0,5796
1674292617,Test2,SMOTENC,LogReg-1ep-s1674292617,BENIGN,0.9332566168009206,0.8650666666666667,0.8978688070855245,15000.0,50000
1674292617,Test2,SMOTENC,LogReg-1ep-s1674292617,DoS Slowhttptest,0.5213754646840149,0.68,0.590215675960021,1650.0,5499
1674292617,Test2,SMOTENC,LogReg-1ep-s1674292617,DoS slowloris,0.4037719674239177,0.5416906267970097,0.462671905697446,1739.0,5796
1674292617,Test2,SMOTENC,RF-1ep-s1674292617,BENIGN,0.9992670575692963,0.9998,0.9995334577446015,15000.0,50000
1674292617,Test2,SMOTENC,RF-1ep-s1674292617,DoS Slowhttptest,0.9957575757575757,0.9957575757575757,0.9957575757575757,1650.0,5499
1674292617,Test2,SMOTENC,RF-1ep-s1674292617,DoS slowloris,0.9965337954939342,0.9919493962047153,0.9942363112391931,1739.0,5796
1674292617,Test2,SMOTENC,XGB-1ep-s1674292617,BENIGN,0.9993337774816788,1.0,0.9996667777407531,15000.0,50000
1674292617,Test2,SMOTENC,XGB-1ep-s1674292617,DoS Slowhttptest,0.9963636363636363,0.9963636363636363,0.9963636363636363,1650.0,5499
1674292617,Test2,SMOTENC,XGB-1ep-s1674292617,DoS slowloris,0.9971081550028918,0.9913743530764807,0.994232987312572,1739.0,5796
1674292617,Test2,SMOTENC,MLP-2ep-s1674292617,BENIGN,0.9656065620952655,0.8946666666666667,0.928783998892657,15000.0,50000
1674292617,Test2,SMOTENC,MLP-2ep-s1674292617,DoS Slowhttptest,0.5075593952483801,0.8545454545454545,0.6368563685636857,1650.0,5499
1674292617,Test2,SMOTENC,MLP-2ep-s1674292617,DoS slowloris,0.673671920607122,0.6635997699827487,0.6685979142526072,1739.0,5796
1674292617,Test2,SMOTENC,LogReg-2ep-s1674292617,BENIGN,0.9813412444375049,0.838,0.9040238771620699,15000.0,50000
1674292617,Test2,SMOTENC,LogReg-2ep-s1674292617,DoS Slowhttptest,0.5054585152838428,0.8418181818181818,0.6316507503410641,1650.0,5499
1674292617,Test2,SMOTENC,LogReg-2ep-s1674292617,DoS slowloris,0.5406073446327684,0.8803910293271996,0.6698753008094509,1739.0,5796
1674292617,Test2,SMOTENC,RF-2ep-s1674292617,BENIGN,0.9992670575692963,0.9998,0.9995334577446015,15000.0,50000
1674292617,Test2,SMOTENC,RF-2ep-s1674292617,DoS Slowhttptest,0.9957575757575757,0.9957575757575757,0.9957575757575757,1650.0,5499
1674292617,Test2,SMOTENC,RF-2ep-s1674292617,DoS slowloris,0.9965337954939342,0.9919493962047153,0.9942363112391931,1739.0,5796
1674292617,Test2,SMOTENC,XGB-2ep-s1674292617,BENIGN,0.9993337774816788,1.0,0.9996667777407531,15000.0,50000
1674292617,Test2,SMOTENC,XGB-2ep-s1674292617,DoS Slowhttptest,0.9963636363636363,0.9963636363636363,0.9963636363636363,1650.0,5499
1674292617,Test2,SMOTENC,XGB-2ep-s1674292617,DoS slowloris,0.9971081550028918,0.9913743530764807,0.994232987312572,1739.0,5796
1674292617,Test2,SMOTENC,MLP-3ep-s1674292617,BENIGN,0.9403018697904933,0.8348,0.8844157220044496,15000.0,50000
1674292617,Test2,SMOTENC,MLP-3ep-s1674292617,DoS Slowhttptest,0.36194444444444446,0.7896969696969697,0.49638095238095237,1650.0,5499
1674292617,Test2,SMOTENC,MLP-3ep-s1674292617,DoS slowloris,0.7309782608695652,0.6187464059804485,0.670196200560573,1739.0,5796
1674292617,Test2,SMOTENC,LogReg-3ep-s1674292617,BENIGN,0.9880163986124251,0.8354666666666667,0.9053604970380003,15000.0,50000
1674292617,Test2,SMOTENC,LogReg-3ep-s1674292617,DoS Slowhttptest,0.5570906135717189,0.8309090909090909,0.6669909997567501,1650.0,5499
1674292617,Test2,SMOTENC,LogReg-3ep-s1674292617,DoS slowloris,0.4904438964241677,0.9148936170212766,0.6385711418824002,1739.0,5796
1674292617,Test2,SMOTENC,RF-3ep-s1674292617,BENIGN,0.9992670575692963,0.9998,0.9995334577446015,15000.0,50000
1674292617,Test2,SMOTENC,RF-3ep-s1674292617,DoS Slowhttptest,0.9957575757575757,0.9957575757575757,0.9957575757575757,1650.0,5499
1674292617,Test2,SMOTENC,RF-3ep-s1674292617,DoS slowloris,0.9965337954939342,0.9919493962047153,0.9942363112391931,1739.0,5796
1674292617,Test2,SMOTENC,XGB-3ep-s1674292617,BENIGN,0.9993337774816788,1.0,0.9996667777407531,15000.0,50000
1674292617,Test2,SMOTENC,XGB-3ep-s1674292617,DoS Slowhttptest,0.9963636363636363,0.9963636363636363,0.9963636363636363,1650.0,5499
1674292617,Test2,SMOTENC,XGB-3ep-s1674292617,DoS slowloris,0.9971081550028918,0.9913743530764807,0.994232987312572,1739.0,5796
1674292617,Test2,SMOTENC,MLP-5ep-s1674292617,BENIGN,0.9487112900084399,0.9742,0.9612867151267966,15000.0,50000
1674292617,Test2,SMOTENC,MLP-5ep-s1674292617,DoS Slowhttptest,0.8825883922615076,0.8018181818181818,0.8402667513496348,1650.0,5499
1674292617,Test2,SMOTENC,MLP-5ep-s1674292617,DoS slowloris,0.7303295225285811,0.6244968372627947,0.6732796032238065,1739.0,5796
1674292617,Test2,SMOTENC,LogReg-5ep-s1674292617,BENIGN,0.999194847020934,0.8273333333333334,0.9051787016776076,15000.0,50000
1674292617,Test2,SMOTENC,LogReg-5ep-s1674292617,DoS Slowhttptest,0.6637574644005512,0.8757575757575757,0.7551607002874314,1650.0,5499
1674292617,Test2,SMOTENC,LogReg-5ep-s1674292617,DoS slowloris,0.42853375527426163,0.9344450833812536,0.5875971795335383,1739.0,5796
1674292617,Test2,SMOTENC,RF-5ep-s1674292617,BENIGN,0.9992670575692963,0.9998,0.9995334577446015,15000.0,50000
1674292617,Test2,SMOTENC,RF-5ep-s1674292617,DoS Slowhttptest,0.9957575757575757,0.9957575757575757,0.9957575757575757,1650.0,5499
