Seed,Scenario,Augmentation,Model,ActualClass,Pred_BENIGN,Pred_DoS Slowhttptest,Pred_DoS slowloris
1674292617,Test2,SMOTENC,MLP-30ep-s1674292617,BENIGN,14731,39,230
1674292617,Test2,SMOTENC,MLP-30ep-s1674292617,DoS Slowhttptest,193,1354,103
1674292617,Test2,SMOTENC,MLP-30ep-s1674292617,DoS slowloris,227,63,1449
1674292617,Test2,SMOTENC,LogReg-30ep-s1674292617,BENIGN,14639,151,210
1674292617,Test2,SMOTENC,LogReg-30ep-s1674292617,DoS Slowhttptest,6,1621,23
1674292617,Test2,SMOTENC,LogReg-30ep-s1674292617,DoS slowloris,6,46,1687
1674292617,Test2,SMOTENC,RF-30ep-s1674292617,BENIGN,14997,2,1
1674292617,Test2,SMOTENC,RF-30ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,SMOTENC,RF-30ep-s1674292617,DoS slowloris,9,5,1725
1674292617,Test2,SMOTENC,XGB-30ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,SMOTENC,XGB-30ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,SMOTENC,XGB-30ep-s1674292617,DoS slowloris,9,6,1724
1674292617,Test2,SMOTENC,MLP-50ep-s1674292617,BENIGN,14874,71,55
1674292617,Test2,SMOTENC,MLP-50ep-s1674292617,DoS Slowhttptest,123,1415,112
1674292617,Test2,SMOTENC,MLP-50ep-s1674292617,DoS slowloris,362,60,1317
1674292617,Test2,SMOTENC,LogReg-50ep-s1674292617,BENIGN,14709,154,137
1674292617,Test2,SMOTENC,LogReg-50ep-s1674292617,DoS Slowhttptest,3,1634,13
1674292617,Test2,SMOTENC,LogReg-50ep-s1674292617,DoS slowloris,7,43,1689
1674292617,Test2,SMOTENC,RF-50ep-s1674292617,BENIGN,14997,2,1
1674292617,Test2,SMOTENC,RF-50ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,SMOTENC,RF-50ep-s1674292617,DoS slowloris,9,5,1725
1674292617,Test2,SMOTENC,XGB-50ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,SMOTENC,XGB-50ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,SMOTENC,XGB-50ep-s1674292617,DoS slowloris,9,6,1724
1674292617,Test2,SMOTENC,MLP-100ep-s1674292617,BENIGN,14914,49,37
1674292617,Test2,SMOTENC,MLP-100ep-s1674292617,DoS Slowhttptest,128,1434,88
1674292617,Test2,SMOTENC,MLP-100ep-s1674292617,DoS slowloris,339,211,1189
1674292617,Test2,SMOTENC,LogReg-100ep-s1674292617,BENIGN,14725,129,146
1674292617,Test2,SMOTENC,LogReg-100ep-s1674292617,DoS Slowhttptest,6,1634,10
1674292617,Test2,SMOTENC,LogReg-100ep-s1674292617,DoS slowloris,7,45,1687
1674292617,Test2,SMOTENC,RF-100ep-s1674292617,BENIGN,14997,2,1
1674292617,Test2,SMOTENC,RF-100ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,SMOTENC,RF-100ep-s1674292617,DoS slowloris,9,5,1725
1674292617,Test2,SMOTENC,XGB-100ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,SMOTENC,XGB-100ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,SMOTENC,XGB-100ep-s1674292617,DoS slowloris,9,6,1724
1674292617,Test2,CVAE,MLP-1ep-s1674292617,BENIGN,14084,177,739
1674292617,Test2,CVAE,MLP-1ep-s1674292617,DoS Slowhttptest,328,1022,300
1674292617,Test2,CVAE,MLP-1ep-s1674292617,DoS slowloris,795,37,907
1674292617,Test2,CVAE,LogReg-1ep-s1674292617,BENIGN,13094,853,1053
1674292617,Test2,CVAE,LogReg-1ep-s1674292617,DoS Slowhttptest,218,1063,369
1674292617,Test2,CVAE,LogReg-1ep-s1674292617,DoS slowloris,755,36,948
1674292617,Test2,CVAE,RF-1ep-s1674292617,BENIGN,14998,1,1
1674292617,Test2,CVAE,RF-1ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,CVAE,RF-1ep-s1674292617,DoS slowloris,9,5,1725
1674292617,Test2,CVAE,XGB-1ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,CVAE,XGB-1ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,CVAE,XGB-1ep-s1674292617,DoS slowloris,9,5,1725
1674292617,Test2,CVAE,MLP-2ep-s1674292617,BENIGN,11582,2702,716
1674292617,Test2,CVAE,MLP-2ep-s1674292617,DoS Slowhttptest,232,1297,121
1674292617,Test2,CVAE,MLP-2ep-s1674292617,DoS slowloris,258,90,1391
1674292617,Test2,CVAE,LogReg-2ep-s1674292617,BENIGN,12830,1022,1148
1674292617,Test2,CVAE,LogReg-2ep-s1674292617,DoS Slowhttptest,138,1409,103
1674292617,Test2,CVAE,LogReg-2ep-s1674292617,DoS slowloris,101,107,1531
1674292617,Test2,CVAE,RF-2ep-s1674292617,BENIGN,14998,1,1
1674292617,Test2,CVAE,RF-2ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,CVAE,RF-2ep-s1674292617,DoS slowloris,9,5,1725
1674292617,Test2,CVAE,XGB-2ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,CVAE,XGB-2ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,CVAE,XGB-2ep-s1674292617,DoS slowloris,9,5,1725
1674292617,Test2,CVAE,MLP-3ep-s1674292617,BENIGN,11755,2732,513
1674292617,Test2,CVAE,MLP-3ep-s1674292617,DoS Slowhttptest,113,1512,25
1674292617,Test2,CVAE,MLP-3ep-s1674292617,DoS slowloris,237,176,1326
1674292617,Test2,CVAE,LogReg-3ep-s1674292617,BENIGN,12894,574,1532
1674292617,Test2,CVAE,LogReg-3ep-s1674292617,DoS Slowhttptest,122,1369,159
1674292617,Test2,CVAE,LogReg-3ep-s1674292617,DoS slowloris,33,115,1591
1674292617,Test2,CVAE,RF-3ep-s1674292617,BENIGN,14998,1,1
1674292617,Test2,CVAE,RF-3ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,CVAE,RF-3ep-s1674292617,DoS slowloris,9,5,1725
1674292617,Test2,CVAE,XGB-3ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,CVAE,XGB-3ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,CVAE,XGB-3ep-s1674292617,DoS slowloris,9,5,1725
1674292617,Test2,CVAE,MLP-5ep-s1674292617,BENIGN,14337,183,480
1674292617,Test2,CVAE,MLP-5ep-s1674292617,DoS Slowhttptest,240,1375,35
1674292617,Test2,CVAE,MLP-5ep-s1674292617,DoS slowloris,270,137,1332
1674292617,Test2,CVAE,LogReg-5ep-s1674292617,BENIGN,12657,700,1643
1674292617,Test2,CVAE,LogReg-5ep-s1674292617,DoS Slowhttptest,78,1373,199
1674292617,Test2,CVAE,LogReg-5ep-s1674292617,DoS slowloris,29,86,1624
1674292617,Test2,CVAE,RF-5ep-s1674292617,BENIGN,14998,1,1
1674292617,Test2,CVAE,RF-5ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,CVAE,RF-5ep-s1674292617,DoS slowloris,9,5,1725
1674292617,Test2,CVAE,XGB-5ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,CVAE,XGB-5ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,CVAE,XGB-5ep-s1674292617,DoS slowloris,9,5,1725
1674292617,Test2,CVAE,MLP-10ep-s1674292617,BENIGN,14356,214,430
1674292617,Test2,CVAE,MLP-10ep-s1674292617,DoS Slowhttptest,201,1333,116
1674292617,Test2,CVAE,MLP-10ep-s1674292617,DoS slowloris,227,96,1416
1674292617,Test2,CVAE,LogReg-10ep-s1674292617,BENIGN,13613,414,973
1674292617,Test2,CVAE,LogReg-10ep-s1674292617,DoS Slowhttptest,11,1518,121
1674292617,Test2,CVAE,LogReg-10ep-s1674292617,DoS slowloris,6,140,1593
1674292617,Test2,CVAE,RF-10ep-s1674292617,BENIGN,14998,1,1
1674292617,Test2,CVAE,RF-10ep-s1674292617,DoS Slowhttptest,2,1643,5
