Scenario,Augmentation,Model,Class,Precision,Recall,F1-Score,Support,TotalSamples
Test2,CVAE,XGB-25ep-avg,BENIGN,0.9996334945479193,0.9998733333333334,0.999753373540295,15000.0,50000.0
Test2,CVAE,XGB-25ep-avg,DoS Slowhttptest,0.9970236983713063,0.9946060606060605,0.9958122359789388,1650.0,5499.0
Test2,CVAE,XGB-25ep-avg,DoS slowloris,0.9951747283518628,0.9953996549741231,0.9952854800622148,1739.0,5796.0
Test2,CVAE,XGB-2ep-avg,BENIGN,0.9996334945479193,0.9998733333333334,0.999753373540295,15000.0,50000.0
Test2,CVAE,XGB-2ep-avg,DoS Slowhttptest,0.9970236983713063,0.9946060606060605,0.9958122359789388,1650.0,5499.0
Test2,CVAE,XGB-2ep-avg,DoS slowloris,0.9951747283518628,0.9953996549741231,0.9952854800622148,1739.0,5796.0
Test2,CVAE,XGB-30ep-avg,BENIGN,0.9996334945479193,0.9998733333333334,0.999753373540295,15000.0,50000.0
Test2,CVAE,XGB-30ep-avg,DoS Slowhttptest,0.9970236983713063,0.9946060606060605,0.9958122359789388,1650.0,5499.0
Test2,CVAE,XGB-30ep-avg,DoS slowloris,0.9951747283518628,0.9953996549741231,0.9952854800622148,1739.0,5796.0
Test2,CVAE,XGB-3ep-avg,BENIGN,0.9996334945479193,0.9998733333333334,0.999753373540295,15000.0,50000.0
Test2,CVAE,XGB-3ep-avg,DoS Slowhttptest,0.9970236983713063,0.9946060606060605,0.9958122359789388,1650.0,5499.0
Test2,CVAE,XGB-3ep-avg,DoS slowloris,0.9951747283518628,0.9953996549741231,0.9952854800622148,1739.0,5796.0
Test2,CVAE,XGB-50ep-avg,BENIGN,0.9996334945479193,0.9998733333333334,0.999753373540295,15000.0,50000.0
Test2,CVAE,XGB-50ep-avg,DoS Slowhttptest,0.9970236983713063,0.9946060606060605,0.9958122359789388,1650.0,5499.0
Test2,CVAE,XGB-50ep-avg,DoS slowloris,0.9951747283518628,0.9953996549741231,0.9952854800622148,1739.0,5796.0
Test2,CVAE,XGB-5ep-avg,BENIGN,0.9996334945479193,0.9998733333333334,0.999753373540295,15000.0,50000.0
Test2,CVAE,XGB-5ep-avg,DoS Slowhttptest,0.9970236983713063,0.9946060606060605,0.9958122359789388,1650.0,5499.0
Test2,CVAE,XGB-5ep-avg,DoS slowloris,0.9951747283518628,0.9953996549741231,0.9952854800622148,1739.0,5796.0
Test2,GAN,LogReg-100ep-avg,BENIGN,0.998803874422458,0.97608,0.9873006550789768,15000.0,50000.0
Test2,GAN,LogReg-100ep-avg,DoS Slowhttptest,0.896221527580076,0.9876363636363636,0.939468953313128,1650.0,5499.0
Test2,GAN,LogReg-100ep-avg,DoS slowloris,0.8893229639207559,0.9761357101782634,0.9305472262828116,1739.0,5796.0
Test2,GAN,LogReg-10ep-avg,BENIGN,0.9933195129864739,0.9373400000000001,0.9644825521240664,15000.0,50000.0
Test2,GAN,LogReg-10ep-avg,DoS Slowhttptest,0.8158887884812852,0.8844242424242423,0.8486562904679351,1650.0,5499.0
Test2,GAN,LogReg-10ep-avg,DoS slowloris,0.6530652860748832,0.9127659574468086,0.7602848542956311,1739.0,5796.0
Test2,GAN,LogReg-15ep-avg,BENIGN,0.9961250857504386,0.9473933333333333,0.9710377645357606,15000.0,50000.0
Test2,GAN,LogReg-15ep-avg,DoS Slowhttptest,0.8305688612715889,0.9709696969696969,0.8950359095804525,1650.0,5499.0
Test2,GAN,LogReg-15ep-avg,DoS slowloris,0.7609870213634555,0.9466359976998275,0.8409232879158008,1739.0,5796.0
Test2,GAN,LogReg-1ep-avg,BENIGN,0.9309237067599103,0.86602,0.897294725226001,15000.0,50000.0
Test2,GAN,LogReg-1ep-avg,DoS Slowhttptest,0.5016914024527843,0.6485454545454545,0.5656798346624055,1650.0,5499.0
Test2,GAN,LogReg-1ep-avg,DoS slowloris,0.41303606479256094,0.5463484761357102,0.47039482414962697,1739.0,5796.0
Test2,GAN,LogReg-20ep-avg,BENIGN,0.9972244217633037,0.95672,0.9764996239418083,15000.0,50000.0
Test2,GAN,LogReg-20ep-avg,DoS Slowhttptest,0.8626974675644521,0.9738181818181818,0.9145748287740636,1650.0,5499.0
Test2,GAN,LogReg-20ep-avg,DoS slowloris,0.78746864317945,0.959401955146636,0.8635603454340026,1739.0,5796.0
Test2,GAN,LogReg-25ep-avg,BENIGN,0.9966349500843975,0.961,0.9784682894779564,15000.0,50000.0
Test2,GAN,LogReg-25ep-avg,DoS Slowhttptest,0.8712549001236976,0.9645454545454545,0.9152650239814232,1650.0,5499.0
Test2,GAN,LogReg-25ep-avg,DoS slowloris,0.8045866434323365,0.966877515813686,0.8775996370593961,1739.0,5796.0
Test2,GAN,LogReg-2ep-avg,BENIGN,0.980930948272932,0.8438000000000001,0.9072079452598769,15000.0,50000.0
Test2,GAN,LogReg-2ep-avg,DoS Slowhttptest,0.5038486501267652,0.8243636363636364,0.6253409023284497,1650.0,5499.0
Test2,GAN,LogReg-2ep-avg,DoS slowloris,0.5564501194791519,0.8908568142610696,0.684943913278228,1739.0,5796.0
Test2,GAN,LogReg-30ep-avg,BENIGN,0.9975838693140959,0.9627933333333335,0.9798579872673461,15000.0,50000.0
Test2,GAN,LogReg-30ep-avg,DoS Slowhttptest,0.8821837788448448,0.9722424242424242,0.9247479685110978,1650.0,5499.0
Test2,GAN,LogReg-30ep-avg,DoS slowloris,0.8096575488857323,0.9698102357676828,0.8815872798540069,1739.0,5796.0
Test2,GAN,LogReg-3ep-avg,BENIGN,0.9868776001134043,0.8329333333333333,0.9033842697693084,15000.0,50000.0
Test2,GAN,LogReg-3ep-avg,DoS Slowhttptest,0.5596382629478768,0.8191515151515152,0.6648205391956965,1650.0,5499.0
Test2,GAN,LogReg-3ep-avg,DoS slowloris,0.4819091507986288,0.9168487636572744,0.631639386731856,1739.0,5796.0
Test2,GAN,LogReg-50ep-avg,BENIGN,0.9989742373981171,0.9700933333333334,0.984297858000728,15000.0,50000.0
Test2,GAN,LogReg-50ep-avg,DoS Slowhttptest,0.8849397193789912,0.982969696969697,0.931113442496127,1650.0,5499.0
Test2,GAN,LogReg-50ep-avg,DoS slowloris,0.8553629032722853,0.9750431282346176,0.9106746250903729,1739.0,5796.0
Test2,GAN,LogReg-5ep-avg,BENIGN,0.9985050371544475,0.8126599999999999,0.8959780643243036,15000.0,50000.0
Test2,GAN,LogReg-5ep-avg,DoS Slowhttptest,0.6761535127500662,0.867939393939394,0.7601015472780713,1650.0,5499.0
